,nodeA,betweenness,eigenvector,nodeB,weight
0,ye,0.2888888888888889,0.4964356755104217,ye,2951
1,ye,0.2888888888888889,0.4964356755104217,ye shall,708
2,israel,0.4,0.5855656241949266,jerusalem,687
3,israel,0.4,0.5855656241949266,ye,1320
4,israel,0.4,0.5855656241949266,israel,3052
5,israel,0.4,0.5855656241949266,one,628
6,one,0.15555555555555556,0.47078783715344713,ye,567
7,one,0.15555555555555556,0.47078783715344713,two,633
8,one,0.15555555555555556,0.47078783715344713,one,1130
9,egypt,0.0,0.21911255039309602,egypt,596
10,egypt,0.0,0.21911255039309602,israel,783
11,thou shalt,0.0,4.889708699486792e-07,thou shalt,506
12,earth,0.0,4.889708699486792e-07,earth,654
13,two,0.0,0.17616216300411436,two,573
14,david,0.0,0.21911255039309602,david,1182
15,david,0.0,0.21911255039309602,israel,1018
16,jesus,0.0,0.13517737295161117,ye,660
